source,target,distance,travel_time,capacity,signal_delay,congestion
0,1,1.792,2.166,500,0.273,0.709
1,0,1.24,2.335,1000,1.62,0.867
0,10,1.853,2.748,500,1.256,0.194
10,0,0.421,0.704,1000,1.78,0.338
0,11,0.46,0.64,1000,0.656,0.155
11,0,1.969,2.206,1000,0.061,0.037
1,2,1.698,2.962,2000,0.653,0.828
2,1,0.762,0.78,1500,0.171,0.052
1,11,1.203,1.734,1500,0.277,0.133
11,1,1.948,2.406,1500,1.59,0.271
1,10,0.343,0.352,1500,0.857,0.688
10,1,0.399,0.423,1500,0.5,0.549
2,3,1.515,1.958,500,1.277,0.517
3,2,1.417,2.272,500,0.839,0.248
2,12,0.905,1.079,500,0.684,0.092
12,2,0.46,0.85,1000,1.407,0.474
2,13,1.136,1.75,500,0.929,0.65
13,2,0.382,0.395,2000,0.091,0.375
3,4,1.155,1.278,500,1.368,0.616
4,3,1.905,1.978,2000,1.172,0.94
3,13,1.278,2.159,2000,0.257,0.811
13,3,1.695,2.258,500,1.922,0.905
3,14,0.418,1.043,1000,0.078,0.618
14,3,0.872,1.132,500,1.69,0.023
4,5,0.779,1.891,500,0.697,0.937
5,4,0.367,0.599,500,0.564,0.177
4,14,1.576,1.809,500,1.463,0.128
14,4,0.725,1.006,1500,1.862,0.858
5,6,1.583,3.936,500,1.069,0.497
6,5,0.962,1.81,1500,0.778,0.011
5,15,1.839,4.666,1500,1.914,0.677
15,5,1.12,1.692,2000,0.897,0.293
5,16,1.443,1.729,1500,1.563,0.113
16,5,1.883,1.915,1000,1.099,0.442
6,7,0.897,2.179,2000,1.376,0.837
7,6,1.774,1.988,1000,1.402,0.073
6,16,1.697,2.11,500,1.027,0.233
16,6,1.288,1.418,1000,1.626,0.947
7,8,0.94,2.416,500,0.756,0.705
8,7,0.723,1.306,1000,0.985,0.011
7,17,1.097,2.957,2000,1.534,0.823
17,7,1.565,1.988,2000,1.924,0.375
7,18,1.777,3.683,1000,1.604,0.978
18,7,1.245,2.27,2000,1.055,0.993
7,16,1.242,1.267,1000,0.332,0.217
16,7,0.801,0.803,1000,1.169,0.901
8,9,0.377,0.725,2000,0.116,0.395
9,8,0.481,0.864,1000,0.376,0.464
8,18,0.901,1.247,2000,0.721,0.26
18,8,1.071,3.017,500,0.619,0.814
8,17,1.849,2.097,1000,0.833,0.581
17,8,1.863,4.794,1000,1.732,0.045
9,19,0.345,0.59,500,0.961,0.985
19,9,0.94,1.129,500,1.94,0.842
10,11,1.097,1.798,500,0.027,0.075
11,10,1.476,2.14,500,1.993,0.555
10,20,1.607,1.669,1000,0.756,0.241
20,10,0.649,1.295,500,1.212,0.229
11,12,1.351,2.361,2000,0.044,0.498
12,11,1.11,1.25,1000,1.704,0.552
11,21,1.254,1.366,500,1.18,0.48
21,11,1.015,1.185,1000,1.408,0.213
11,22,0.325,0.573,1000,1.273,0.555
22,11,0.455,0.556,500,1.028,0.784
12,13,1.358,1.495,500,1.593,0.459
13,12,1.732,2.047,2000,0.918,0.98
12,22,1.137,2.059,1500,1.159,0.342
22,12,1.213,1.896,2000,0.304,0.139
12,21,0.888,0.953,1500,1.03,0.973
21,12,1.323,2.742,500,0.338,0.279
13,14,0.601,1.531,500,1.069,0.356
14,13,1.82,4.342,1000,1.381,0.039
13,23,1.659,2.206,1500,1.023,0.157
23,13,0.941,2.81,2000,1.612,0.748
13,24,0.656,1.13,1000,0.472,0.76
24,13,1.203,1.479,1000,0.073,0.252
14,15,1.822,2.701,1500,0.061,0.867
15,14,0.902,1.508,2000,0.538,0.377
14,24,0.334,0.61,1500,0.178,0.535
24,14,0.696,1.239,500,1.358,0.789
14,23,1.213,1.674,2000,1.173,0.564
23,14,0.944,1.691,2000,1.292,0.571
15,16,0.905,0.914,500,1.867,0.008
16,15,0.683,1.184,2000,0.321,0.187
15,25,0.785,1.748,1500,1.685,0.052
25,15,0.331,0.415,2000,0.224,0.398
16,17,1.689,3.343,2000,1.446,0.821
17,16,1.521,2.205,1000,0.56,0.769
16,26,0.618,1.125,1500,0.399,0.736
26,16,1.201,1.492,1000,0.577,0.581
16,27,1.118,1.624,500,0.738,0.454
27,16,1.233,1.763,1000,0.645,0.81
17,18,1.459,1.736,1500,0.946,0.606
18,17,1.65,4.08,500,1.661,0.965
17,27,0.511,0.623,500,0.41,0.379
27,17,1.875,2.302,2000,1.684,0.14
17,26,0.578,1.306,500,0.471,0.634
26,17,1.843,3.388,1000,0.785,0.817
18,19,1.047,1.79,1500,1.248,0.54
19,18,1.046,1.456,500,1.799,0.384
18,28,1.224,1.305,1500,1.086,0.432
28,18,0.866,1.055,1000,0.279,0.794
19,29,1.82,2.118,1000,1.505,0.707
29,19,1.624,3.787,2000,1.14,0.762
20,21,0.882,1.001,1500,0.758,0.457
21,20,1.327,1.986,2000,0.3,0.229
20,30,1.528,1.878,1500,1.197,0.566
30,20,1.518,2.071,2000,0.363,0.908
21,22,0.981,1.53,1000,1.23,0.912
22,21,0.536,1.339,500,0.036,0.872
21,31,1.885,2.654,2000,1.58,0.023
31,21,1.407,1.661,1500,1.213,0.424
22,23,1.873,2.955,1000,0.472,0.166
23,22,0.617,0.692,500,1.74,0.519
22,32,1.305,2.178,500,1.488,0.206
32,22,1.639,2.228,1500,0.796,0.537
23,24,0.89,1.079,500,1.174,0.033
24,23,1.852,3.712,500,0.997,0.419
23,33,1.855,3.227,1500,0.555,0.22
33,23,0.662,0.978,500,1.922,0.149
23,32,1.995,2.985,500,0.62,0.397
32,23,1.026,1.184,1000,0.41,0.191
24,25,0.362,0.559,2000,1.175,0.294
25,24,1.514,2.21,1000,0.882,0.401
24,34,1.251,2.865,500,0.669,0.076
