iteration,CPU-ACO,DM-CUDA-ACO
0,24.9228,24.9228
1,16.254301,18.723549
2,16.254301,17.2776
3,16.254301,16.5507
4,16.254301,16.5507
5,16.254301,13.307
6,16.254301,13.307
7,16.254301,13.307
8,16.254301,13.307
9,16.254301,11.67245
10,14.7706995,11.67245
11,14.7706995,11.67245
12,14.7706995,11.67245
13,14.7706995,11.67245
14,14.7706995,11.67245
15,14.7706995,11.67245
16,13.786551,11.67245
17,13.786551,11.67245
18,13.786551,11.67245
19,13.786551,11.67245
20,13.786551,11.67245
21,13.786551,11.67245
22,13.786551,11.67245
23,13.786551,11.67245
24,13.786551,11.67245
25,13.786551,11.67245
26,13.786551,11.67245
27,13.786551,11.67245
28,13.786551,11.67245
29,13.786551,11.67245
30,13.786551,11.67245
31,13.786551,11.67245
32,13.786551,11.67245
33,13.786551,11.67245
34,13.786551,11.67245
35,13.786551,11.67245
36,13.786551,11.67245
37,13.786551,11.67245
38,13.786551,11.67245
39,13.786551,11.67245
40,13.786551,11.67245
41,13.786551,11.67245
42,13.786551,11.67245
43,13.786551,11.67245
44,13.786551,11.67245
45,13.786551,11.67245
46,13.786551,11.67245
47,13.786551,11.67245
48,13.786551,11.67245
49,13.786551,11.67245
50,13.786551,11.67245
51,13.786551,11.67245
52,12.83695,11.67245
53,12.83695,11.67245
54,12.83695,11.67245
55,12.83695,11.67245
56,12.83695,11.67245
57,12.83695,11.67245
58,12.83695,11.67245
59,12.83695,11.67245
60,12.83695,11.67245
61,12.83695,11.67245
62,12.83695,11.67245
63,12.83695,11.67245
64,12.83695,11.67245
65,12.83695,11.67245
66,12.83695,11.67245
67,12.83695,11.67245
68,12.83695,11.67245
69,12.83695,11.67245
70,12.83695,11.67245
71,12.83695,11.67245
72,12.83695,11.67245
73,12.83695,11.67245
74,12.83695,11.67245
75,12.83695,11.67245
76,11.677449,11.67245
77,11.677449,11.67245
78,11.677449,11.67245
79,11.677449,11.67245
80,11.677449,11.67245
81,11.677449,11.67245
82,11.677449,11.67245
83,11.677449,11.67245
84,11.677449,11.67245
85,11.677449,11.67245
86,11.677449,11.67245
87,11.677449,11.67245
88,11.677449,11.67245
89,11.677449,11.67245
90,11.677449,11.67245
91,11.677449,11.67245
92,11.677449,11.67245
93,11.677449,11.67245
94,11.677449,11.67245
95,11.677449,11.67245
96,11.677449,11.67245
97,11.677449,11.67245
98,11.677449,11.67245
99,11.677449,11.67245
